DAY 2,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+,,
__d_d2_RP935A_001.fcs,119322,118725,10483,79794,79634,9795,5609,5598,3297,443,153,5,3032,1,0,5067,54,37,2590,153,34,1029442,1028412,545058,568710,,
__d_d2_RP935B_002.fcs,63383,62876,7231,55079,54418,15999,58507,58331,46490,425,264,20,1716,0,0,2766,26,24,1167,70,30,467942,467007,313828,383623,,
__d_d2_RP940A_003.fcs,308983,307129,30713,180570,179486,32487,563,557,287,838,529,41,2713,4,0,6233,75,37,1139,52,21,258703,257150,105689,169275,,
__d_d2_RP940B_004.fcs,406848,403593,36929,273477,272383,41130,1239,1227,332,1313,944,68,2856,10,0,5545,199,95,1593,239,64,794918,790944,303722,382341,,
__d_d2_RP943A_005.fcs,347696,306668,18799,219991,219111,18252,1830,1824,438,578,287,22,2643,0,0,3480,164,47,1778,231,61,494929,492949,151828,189446,,
__d_d2_RP943B_006.fcs,11241,11117,840,15155,14958,2962,20,20,7,89,82,0,102,0,0,410,0,0,136,0,0,1211,1149,369,4178,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
