DAY 4,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+
B6,4055851.2,0,0,1057288,0,0,810988,0,0,19045,0,0,132137,0,0,1347237,0,0,552532,0,0,61675152,255,0,0
F1,3357619.2,3354262,10398,782098,781316,4297,659175,658515,59003,9669,8896,1156,67512,67512,16675,1025625,1022548,79043,421301,401921,70738,62244000,62244000,180508,421819
RP228A,28050,27910,3461,12726,12471,1035,1666,1662,57,175,124,7,522,0,0,2851,13,2,317,36,14,77558,77248,24410,28987
RP228B,5723.5872,5695,320,2240,2180,140,21,21,4,130,107,7,47,0,0,302,7,0,1498,0,0,461,439,163,634
RP232A,245548.8,245058,35288,122056,121567,7841,369,367,53,318,218,21,574,2,0,1715,19,2,3416,177,53,354682,353972,126014,169273
RP232B,87250.5,86989,6846,46148,45640,2624,2452,1278,24,1702,1579,141,589,30,6,2143,60,6,5042,281,75,137831,137417,38202,47924
RP233A,93704,93423,7007,57338,56879,5392,1023,689,14,960,894,131,727,19,0,3804,177,46,2576,150,22,100624,100121,8360,20971
RP233B,1671.044373,1641,172,1470,1439,176,20,20,0,82,78,7,41,2,0,195,0,0,1129,0,0,384,367,56,411
