DAY 1,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+
t_b_d1_RP1170A.fcs,518581,516196,44806,293791,293585,13417,67497,67423,61631,487,199,54,1180,726,418,131555,117992,34265,110215,92305,78312,5735696,5733401,3372960,3605862
t_b_d1_RP1170B.fcs,83002,82504,11666,47359,47122,15268,1099,1093,762,310,124,23,1444,5,0,2224,166,120,3289,98,26,248130,247609,68687,96552
t_b_d1_RP1171A.fcs,139067,138539,14976,79267,79093,15842,739,732,436,277,113,7,1353,0,0,1959,76,52,3304,114,28,506482,505924,72297,103637
t_b_d1_RP1171B.fcs,132004,131383,17921,71345,70988,16455,536,531,179,279,114,20,1414,10,3,2721,27,21,1538,35,6,124194,123560,25614,60219
t_b_d1_RP1172A.fcs,211601,210903,30707,118592,118343,25787,479,471,147,386,129,20,2183,14,4,5075,20,2,1854,28,4,340280,339735,53101,109772
t_b_d1_RP1172B.fcs,115673,113996,12973,117189,116110,26055,1596,1580,690,913,545,46,3024,8,0,7065,23,23,8348,84,31,118043,116438,41277,81096
