DAY 2,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+
B6,4781225,0,0,813875,0,0,614895,0,0,18448,0,0,204794,0,0,1286675,0,0,425000,0,0,93008958,5850,0,0
F1,3568992,3568992,4997,458225,456850,3107,568641,568072,38686,14910,12420,621,148884,146948,14327,1115008,1102743,41132,427852,405604,34233,101381679,101381679,131796,268899
RP224A,640528,639887,49719,220606,219723,25927,632,632,188,585,225,19,2293,11,0,3101,30,4,1177,228,41,1146992,1145845,286461,362360
RP224B,55174,54954,4545,15289,15152,2106,96,87,26,263,225,26,47,0,0,120,6,6,148,17,0,16199,16085,5791,12499
RP225A,356119,355407,27366,171037,170524,22509,344,335,82,510,370,43,1396,2,0,1524,39,16,1344,364,39,495518,494527,128577,178633
RP225B,77650,77262,4999,40637,40271,5316,147,145,44,520,425,41,386,0,0,1120,57,22,657,279,33,120612,120129,25828,36282
RP230A,461847,461385,21039,265174,264643,24850,228,139,65,479,386,39,690,4,0,1133,38,13,1525,128,41,97598,97208,32078,78126
RP230B,21330,21244,2486,4076,4044,780,55,55,28,57,37,4,46,1,1,117,4,1,98,20,6,17186,17118,5324,8629
