DAY 1,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+
F1,3746430.9,3742684,1011,545259,544169,250,346555,346209,3497,9734,9238,0,42882,42882,999,732685,723893,4995,318330,279812,5988,60461526,60461526,10883,27623
RP223A,303605,302391,45056,185297,182888,67303,6699,1139,1034,9259,8500,1428,8672,42,4,12150,128,97,5111,859,128,427659,424237,120059,235109
RP229A,268965,268696,48365,97231,96939,35286,1261,686,621,1240,1160,224,1509,2,0,3096,300,245,1631,246,61,219180,218742,64091,148893
RP229B,335073,334403,60527,95194,94433,31824,2332,2313,2114,923,756,90,3748,19,4,6036,523,472,3629,711,167,913439,912525,213531,308729
