DAY 3,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+
B6,4022798,360,0,767264,0,0,681158,0,0,16477,0,0,55476,0,0,807198,0,0,399064,0,0,50240271,1442,0,0
F1,3501530,3501530,10505,715909,714478,4644,464340,462947,46017,7579,6988,298,35716,35716,8500,585570,579129,39381,247102,229311,31186,41151500,41151500,127570,268100
RP226A,124906,124531,7434,48161,47921,3196,315,315,36,637,540,64,430,0,0,1445,22,4,1611,146,37,170865,170523,69574,80346
RP226B,4994,4969,313,2368,2337,238,0,0,0,53,44,4,54,0,0,132,0,0,266,1,0,924,894,379,934
RP227A,216104,215672,11129,101807,101298,7283,365,365,56,571,440,49,1134,0,0,2532,44,12,4195,112,29,84945,84435,38418,56976
RP227B,242137,241410,13326,86742,86308,4108,534,534,51,1958,1694,96,1070,12,0,2279,33,6,1744,558,201,295569,294978,121826,139615
RP231A,418870,418451,33476,119714,119355,5240,2050,2050,449,410,80,5,2811,5,5,3038,180,69,3946,176,37,2516417,2513900,987963,1027244
RP231B,39058,39019,1494,5232,5201,309,2278,2273,163,48,39,7,55,0,0,169,2,1,275,16,4,9459,9431,4244,6222
