DAY 1.5,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+,,
t_F1_not_injected_001.fcs,2173968,2150054,1054,318970,318651,105,152279,151213,2223,1651,1238,0,24565,24467,318,355369,336890,2325,536937,207795,5610,30190104,30159914,7238,18873,,
t_c_d1_5_RP968A_002.fcs,54518,53864,5440,22132,22021,3964,186,182,82,209,76,6,646,1,1,892,33,23,524,69,10,330088,329758,100906,110432,,
t_c_d1_5_RP968B_003.fcs,290863,287954,35994,163100,162121,39395,823,810,620,1439,777,38,3273,3,3,7677,95,79,3358,38,11,483392,481458,133845,209986,,
t_c_d1_5_RP969A_004.fcs,124198,122335,17861,79238,78921,26675,2972,2919,2376,478,176,17,1736,2,2,3775,156,130,1097,47,15,549555,548456,181539,228615,,
t_c_d1_5_RP969B_005.fcs,230592,228056,37629,163975,163155,53678,3935,3856,2506,824,239,20,4434,7,3,9131,385,246,1463,70,30,378891,376618,97544,191657,,
t_c_d1_5_RP970A_006.fcs,879219,875702,31525,184455,184271,6615,3931,3919,2375,1083,286,48,1660,0,0,4420,2241,941,6918,1536,428,6984450,6984450,1690237,1732170,,
t_c_d1_5_RP970B_007.fcs,1144954,1138084,40516,627079,626452,61455,2465,2441,1455,1134,507,34,3406,68,14,9000,465,325,3686,137,10,627059,625178,194430,298239,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
